,IIV HD,IIV ID,IIV IM,LAIV,age_group,base_overall_coverage,choice,exp_id,multiplier,overall_coverage
246,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,35,0.0325,0.4733125
247,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,35,0.0325,0.61
248,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,35,0.0325,0.65
249,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,35,0.0325,0.529
250,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,35,0.0325,0.704
251,0.0,0.01,0.97,0.02,"[18,50)",0.323,BASE,35,0.0325,0.323
252,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,36,0.0325,0.681
253,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,36,0.0325,0.453
254,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,36,0.0325,0.634375
255,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,36,0.0325,0.65
256,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,36,0.0325,0.5533750000000001
257,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,36,0.0325,0.704
258,0.0,0.11867791842475406,0.8813220815752459,0.0,"[18,50)",0.323,IIV ID,36,0.0325,0.35550000000000004
259,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,37,0.0325,0.681
260,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,37,0.0325,0.453
261,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,37,0.0325,0.634375
262,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,37,0.0325,0.65
263,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,37,0.0325,0.5533750000000001
264,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,37,0.0325,0.704
265,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,37,0.0325,0.35550000000000004
266,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,38,0.0325,0.681
267,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,38,0.0325,0.453
